2023-11-24 17:03:46 [INFO ] env=racetrack-v0
2023-11-24 17:03:46 [INFO ] state_dim=968
2023-11-24 17:03:46 [INFO ] action_dim=1
2023-11-24 17:03:46 [INFO ] max_action=1.0
2023-11-24 17:03:47 [INFO ] total_steps: 1, episode reward: [0.0], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 3, episode reward: [0.7841744034651694], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 5, episode reward: [0.433382962953944], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 7, episode reward: [0.49975505963089667], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 8, episode reward: [0.0], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 9, episode reward: [0.0], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 12, episode reward: [1.432644675445656], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 14, episode reward: [0.5114134728429658], time_used: 0
2023-11-24 17:03:47 [INFO ] total_steps: 16, episode reward: [0.5332198939677211], time_used: 0
2023-11-24 17:03:48 [INFO ] total_steps: 17, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 19, episode reward: [0.4857305758738292], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 20, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 21, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 22, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 24, episode reward: [0.6564167637068744], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 25, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 27, episode reward: [0.4912932932430701], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 30, episode reward: [1.0607074284779068], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 31, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 34, episode reward: [1.4928163657199667], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 35, episode reward: [0.0], time_used: 1
2023-11-24 17:03:48 [INFO ] total_steps: 37, episode reward: [0.7027808069194901], time_used: 1
2023-11-24 17:03:49 [INFO ] total_steps: 39, episode reward: [0.9347475252752337], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 41, episode reward: [0.48855495970983104], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 42, episode reward: [0.0], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 43, episode reward: [0.0], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 44, episode reward: [0.0], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 47, episode reward: [1.4107427452128134], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 49, episode reward: [0.5319905895908732], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 52, episode reward: [1.0493346741855816], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 53, episode reward: [0.0], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 55, episode reward: [0.7819249725355022], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 57, episode reward: [0.4508925209297484], time_used: 2
2023-11-24 17:03:49 [INFO ] total_steps: 61, episode reward: [1.4352515449557663], time_used: 2
2023-11-24 17:03:50 [INFO ] total_steps: 62, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 63, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 65, episode reward: [0.6796033327427032], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 66, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 70, episode reward: [1.7812930151843134], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 71, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 73, episode reward: [0.8051101768524256], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 74, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 75, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 77, episode reward: [0.6267327691626837], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 78, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 79, episode reward: [0.0], time_used: 3
2023-11-24 17:03:50 [INFO ] total_steps: 82, episode reward: [0.9633645560450234], time_used: 3
2023-11-24 17:03:51 [INFO ] total_steps: 83, episode reward: [0.0], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 85, episode reward: [0.5542570920063005], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 91, episode reward: [2.7487334998057245], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 94, episode reward: [0.8079540869682091], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 95, episode reward: [0.0], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 96, episode reward: [0.0], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 98, episode reward: [0.588435523853261], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 99, episode reward: [0.0], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 101, episode reward: [0.40444172092380865], time_used: 4
2023-11-24 17:03:51 [INFO ] total_steps: 103, episode reward: [0.5786413449683208], time_used: 4
2023-11-24 17:03:52 [INFO ] total_steps: 108, episode reward: [2.483731546806252], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 110, episode reward: [0.49677204214320536], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 111, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 114, episode reward: [1.0262601371196756], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 116, episode reward: [0.5555461821840113], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 117, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 118, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 119, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 123, episode reward: [1.8296695541172672], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 124, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 125, episode reward: [0.0], time_used: 5
2023-11-24 17:03:52 [INFO ] total_steps: 128, episode reward: [1.0399678869020843], time_used: 5
