2023-11-24 16:47:14 [INFO ] env=racetrack-v0
2023-11-24 16:47:14 [INFO ] state_dim=968
2023-11-24 16:47:14 [INFO ] action_dim=1
2023-11-24 16:47:14 [INFO ] max_action=1.0
2023-11-24 16:47:15 [INFO ] total_steps: 30, episode reward: [0.47805744347284146], time_used: 0
2023-11-24 16:47:16 [INFO ] total_steps: 60, episode reward: [3.513656506448216], time_used: 0
2023-11-24 16:47:16 [INFO ] total_steps: 90, episode reward: [2.5886625086562116], time_used: 1
2023-11-24 16:47:16 [INFO ] total_steps: 120, episode reward: [1.8642722847303117], time_used: 1
2023-11-24 16:47:17 [INFO ] total_steps: 150, episode reward: [4.060278388106558], time_used: 2
2023-11-24 16:47:17 [INFO ] total_steps: 180, episode reward: [4.045774267971581], time_used: 2
2023-11-24 16:47:18 [INFO ] total_steps: 210, episode reward: [2.117520402447132], time_used: 2
2023-11-24 16:47:18 [INFO ] total_steps: 240, episode reward: [2.520623869462444], time_used: 3
2023-11-24 16:47:18 [INFO ] total_steps: 250, episode reward: [0.9992993765560906], time_used: 3
2023-11-24 16:47:19 [INFO ] total_steps: 280, episode reward: [0.0], time_used: 3
2023-11-24 16:47:19 [INFO ] total_steps: 310, episode reward: [0.421851590193961], time_used: 4
2023-11-24 16:47:19 [INFO ] total_steps: 317, episode reward: [1.8038373355345902], time_used: 4
2023-11-24 16:47:20 [INFO ] total_steps: 347, episode reward: [0.0], time_used: 4
2023-11-24 16:47:20 [INFO ] total_steps: 377, episode reward: [4.33852352187354], time_used: 5
2023-11-24 16:47:20 [INFO ] total_steps: 407, episode reward: [3.398580744604594], time_used: 5
2023-11-24 16:47:21 [INFO ] total_steps: 437, episode reward: [1.1756565894690887], time_used: 6
2023-11-24 16:47:21 [INFO ] total_steps: 467, episode reward: [1.9054975077257452], time_used: 6
2023-11-24 16:47:22 [INFO ] total_steps: 497, episode reward: [1.4823422394045995], time_used: 6
2023-11-24 16:47:22 [INFO ] total_steps: 527, episode reward: [4.233360173049476], time_used: 7
2023-11-24 16:47:23 [INFO ] total_steps: 557, episode reward: [1.8051121672681476], time_used: 7
2023-11-24 16:47:23 [INFO ] total_steps: 587, episode reward: [2.211648520613956], time_used: 8
2023-11-24 16:47:23 [INFO ] total_steps: 617, episode reward: [1.1920965689306766], time_used: 8
2023-11-24 16:47:24 [INFO ] total_steps: 647, episode reward: [0.5034215036694075], time_used: 9
2023-11-24 16:47:24 [INFO ] total_steps: 677, episode reward: [4.234065620274965], time_used: 9
2023-11-24 16:47:25 [INFO ] total_steps: 707, episode reward: [3.68178793843933], time_used: 9
2023-11-24 16:47:25 [INFO ] total_steps: 737, episode reward: [2.863897160185754], time_used: 10
2023-11-24 16:47:25 [INFO ] total_steps: 767, episode reward: [1.4774632743828462], time_used: 10
2023-11-24 16:47:26 [INFO ] total_steps: 797, episode reward: [0.42890238017315063], time_used: 11
2023-11-24 16:47:26 [INFO ] total_steps: 827, episode reward: [2.8616951256622207], time_used: 11
2023-11-24 16:47:27 [INFO ] total_steps: 857, episode reward: [4.422147198156822], time_used: 12
2023-11-24 16:47:27 [INFO ] total_steps: 887, episode reward: [1.772427363494329], time_used: 12
2023-11-24 16:47:28 [INFO ] total_steps: 917, episode reward: [7.0954834573091885], time_used: 12
2023-11-24 16:47:28 [INFO ] total_steps: 947, episode reward: [6.448042241677656], time_used: 13
2023-11-24 16:47:28 [INFO ] total_steps: 977, episode reward: [2.8256253698159473], time_used: 13
2023-11-24 16:47:29 [INFO ] total_steps: 1007, episode reward: [3.4159240727209728], time_used: 14
2023-11-24 16:47:29 [INFO ] total_steps: 1037, episode reward: [2.6507711788953614], time_used: 14
2023-11-24 16:47:30 [INFO ] total_steps: 1067, episode reward: [1.8102629371854093], time_used: 14
2023-11-24 16:47:30 [INFO ] total_steps: 1074, episode reward: [0.6389192255591538], time_used: 15
2023-11-24 16:47:30 [INFO ] total_steps: 1104, episode reward: [1.7940977530129818], time_used: 15
