2023-11-24 15:42:32 [INFO ] env=racetrack-v0
2023-11-24 15:42:32 [INFO ] state_dim=968
2023-11-24 15:42:32 [INFO ] action_dim=1
2023-11-24 15:42:32 [INFO ] max_action=1.0
2023-11-24 15:42:58 [INFO ] total_steps: 1832, episode reward: [4.71722004647498], time_used: 25
2023-11-24 15:42:58 [INFO ] total_steps: 1862, episode reward: [0.41578273402795113], time_used: 25
2023-11-24 15:42:58 [INFO ] total_steps: 1892, episode reward: [3.948523167660454], time_used: 25
2023-11-24 15:42:59 [INFO ] total_steps: 1922, episode reward: [0.5414468967854005], time_used: 26
2023-11-24 15:42:59 [INFO ] total_steps: 1952, episode reward: [5.660022682160477], time_used: 26
2023-11-24 15:43:00 [INFO ] total_steps: 1982, episode reward: [1.515074915105368], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2012, episode reward: [5.656867189859043], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2025, episode reward: [1.6735911421460592], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2032, episode reward: [0.4916973851946862], time_used: 27
2023-11-24 15:43:01 [INFO ] total_steps: 2062, episode reward: [3.2656600857119975], time_used: 28
2023-11-24 15:43:01 [INFO ] total_steps: 2075, episode reward: [0.856912961297893], time_used: 28
2023-11-24 15:43:01 [INFO ] total_steps: 2078, episode reward: [0.35034414482355036], time_used: 28
2023-11-24 15:43:01 [INFO ] total_steps: 2108, episode reward: [3.0448221011010954], time_used: 28
2023-11-24 15:43:02 [INFO ] total_steps: 2138, episode reward: [2.785901111095721], time_used: 29
2023-11-24 15:43:02 [INFO ] total_steps: 2168, episode reward: [2.2613239335271604], time_used: 29
2023-11-24 15:43:03 [INFO ] total_steps: 2198, episode reward: [2.457209674066241], time_used: 30
2023-11-24 15:43:03 [INFO ] total_steps: 2228, episode reward: [0.0], time_used: 30
2023-11-24 15:43:03 [INFO ] total_steps: 2258, episode reward: [2.237201114635979], time_used: 30
2023-11-24 15:43:04 [INFO ] total_steps: 2288, episode reward: [1.0656219371333606], time_used: 31
2023-11-24 15:43:04 [INFO ] total_steps: 2318, episode reward: [1.3493973475491732], time_used: 31
2023-11-24 15:43:05 [INFO ] total_steps: 2348, episode reward: [0.0], time_used: 32
2023-11-24 15:43:05 [INFO ] total_steps: 2378, episode reward: [0.4277768191901524], time_used: 32
2023-11-24 15:43:05 [INFO ] total_steps: 2408, episode reward: [0.0], time_used: 33
2023-11-24 15:43:06 [INFO ] total_steps: 2438, episode reward: [1.4514786022032307], time_used: 33
2023-11-24 15:43:06 [INFO ] total_steps: 2468, episode reward: [0.0], time_used: 33
2023-11-24 15:43:06 [INFO ] total_steps: 2478, episode reward: [1.2009890969030719], time_used: 33
2023-11-24 15:43:07 [INFO ] total_steps: 2508, episode reward: [0.8262843175344863], time_used: 34
2023-11-24 15:43:07 [INFO ] total_steps: 2538, episode reward: [4.917529586203419], time_used: 34
2023-11-24 15:43:08 [INFO ] total_steps: 2568, episode reward: [0.0], time_used: 35
2023-11-24 15:43:08 [INFO ] total_steps: 2598, episode reward: [2.008339427757491], time_used: 35
2023-11-24 15:43:09 [INFO ] total_steps: 2628, episode reward: [0.8537103974604905], time_used: 36
2023-11-24 15:43:09 [INFO ] total_steps: 2658, episode reward: [3.7981039095158184], time_used: 36
2023-11-24 15:43:09 [INFO ] total_steps: 2666, episode reward: [1.116366485798988], time_used: 36
2023-11-24 15:43:09 [INFO ] total_steps: 2696, episode reward: [0.0], time_used: 36
2023-11-24 15:43:10 [INFO ] total_steps: 2726, episode reward: [4.186059650551007], time_used: 37
2023-11-24 15:43:10 [INFO ] total_steps: 2756, episode reward: [3.5264455307027402], time_used: 37
2023-11-24 15:43:11 [INFO ] total_steps: 2786, episode reward: [1.8783546544359058], time_used: 38
2023-11-24 15:43:11 [INFO ] total_steps: 2816, episode reward: [0.0], time_used: 38
2023-11-24 15:43:12 [INFO ] total_steps: 2846, episode reward: [0.9387574185618122], time_used: 39
2023-11-24 15:43:12 [INFO ] total_steps: 2876, episode reward: [2.365439205371134], time_used: 39
2023-11-24 15:43:12 [INFO ] total_steps: 2906, episode reward: [2.656454667850511], time_used: 39
2023-11-24 15:43:13 [INFO ] total_steps: 2936, episode reward: [4.837010749967026], time_used: 40
2023-11-24 15:43:13 [INFO ] total_steps: 2966, episode reward: [4.619286153821841], time_used: 40
2023-11-24 15:43:14 [INFO ] total_steps: 2996, episode reward: [1.0780978260828897], time_used: 41
2023-11-24 15:43:14 [INFO ] total_steps: 3026, episode reward: [0.5016997939150671], time_used: 41
2023-11-24 15:43:14 [INFO ] total_steps: 3056, episode reward: [0.7447534832222207], time_used: 41
2023-11-24 15:43:15 [INFO ] total_steps: 3086, episode reward: [6.558363010728776], time_used: 42
2023-11-24 15:43:15 [INFO ] total_steps: 3116, episode reward: [2.0530564576630335], time_used: 42
