2023-11-24 18:00:50 [INFO ] env=racetrack-v0
2023-11-24 18:00:50 [INFO ] state_dim=968
2023-11-24 18:00:50 [INFO ] action_dim=1
2023-11-24 18:00:50 [INFO ] max_action=1.0
2023-11-24 18:00:50 [INFO ] total_steps: 1, episode reward: [0.5875318469641105], time_used: 0
2023-11-24 18:00:50 [INFO ] total_steps: 2, episode reward: [0.5426584274886356], time_used: 0
2023-11-24 18:00:50 [INFO ] total_steps: 3, episode reward: [0.515934281692884], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 5, episode reward: [11.895632542129116], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 7, episode reward: [11.660391031912095], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 8, episode reward: [0.5287020105161007], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 12, episode reward: [34.69117155107565], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 13, episode reward: [0.5228691331229345], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 14, episode reward: [0.6860808060493744], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 16, episode reward: [12.163942781425263], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 17, episode reward: [0.85806400183726], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 18, episode reward: [0.5729512814359243], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 20, episode reward: [11.74210883709951], time_used: 0
2023-11-24 18:00:51 [INFO ] total_steps: 23, episode reward: [23.791233094168632], time_used: 1
2023-11-24 18:00:51 [INFO ] total_steps: 24, episode reward: [0.615897722183652], time_used: 1
2023-11-24 18:00:51 [INFO ] total_steps: 26, episode reward: [11.586081974684046], time_used: 1
2023-11-24 18:00:51 [INFO ] total_steps: 27, episode reward: [0.7285001973160747], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 31, episode reward: [49.35715794350769], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 34, episode reward: [26.299834542127172], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 35, episode reward: [1.1259022657600395], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 37, episode reward: [13.906320695624519], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 39, episode reward: [20.351641131831364], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 41, episode reward: [11.537942316693849], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 45, episode reward: [40.11850563365039], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 46, episode reward: [1.1492484688069737], time_used: 1
2023-11-24 18:00:52 [INFO ] total_steps: 50, episode reward: [36.3138962327163], time_used: 2
2023-11-24 18:00:52 [INFO ] total_steps: 52, episode reward: [12.296697235133244], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 55, episode reward: [31.578872424394845], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 60, episode reward: [57.08950027858961], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 61, episode reward: [0.5845513891064944], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 62, episode reward: [0.8130114696747166], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 63, episode reward: [0.5222816285784253], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 65, episode reward: [15.992521568338702], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 66, episode reward: [0.6395538198932053], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 69, episode reward: [27.62413301090657], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 70, episode reward: [0.5443856358353922], time_used: 2
2023-11-24 18:00:53 [INFO ] total_steps: 72, episode reward: [14.261354407180958], time_used: 3
2023-11-24 18:00:53 [INFO ] total_steps: 73, episode reward: [0.9275047500146857], time_used: 3
2023-11-24 18:00:53 [INFO ] total_steps: 74, episode reward: [0.613416458095686], time_used: 3
2023-11-24 18:00:53 [INFO ] total_steps: 75, episode reward: [0.6047350161240802], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 77, episode reward: [12.444175041259392], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 78, episode reward: [0.6471988694604018], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 79, episode reward: [0.5377150731402263], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 82, episode reward: [30.91823150880671], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 83, episode reward: [0.9263069051139328], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 85, episode reward: [18.511237219246564], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 86, episode reward: [0.5155551068736055], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 88, episode reward: [16.540178243685133], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 91, episode reward: [25.40979150277551], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 92, episode reward: [0.6763027333202564], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 93, episode reward: [0.9220331041178269], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 94, episode reward: [0.5157676598942313], time_used: 3
2023-11-24 18:00:54 [INFO ] total_steps: 95, episode reward: [1.1293020940586853], time_used: 4
2023-11-24 18:00:54 [INFO ] total_steps: 96, episode reward: [0.8729291890026853], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 101, episode reward: [54.705558128429296], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 107, episode reward: [66.88899713882248], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 110, episode reward: [22.305017871860787], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 111, episode reward: [0.8016673182348248], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 112, episode reward: [0.6859913190674021], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 116, episode reward: [36.37294962123185], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 118, episode reward: [11.438592521323566], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 119, episode reward: [0.984297993376829], time_used: 4
2023-11-24 18:00:55 [INFO ] total_steps: 121, episode reward: [14.86486726892936], time_used: 5
2023-11-24 18:00:55 [INFO ] total_steps: 126, episode reward: [61.72711677547435], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 128, episode reward: [20.771751805706526], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 130, episode reward: [10.982196181186138], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 131, episode reward: [1.1267726924132213], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 133, episode reward: [11.07287822167841], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 134, episode reward: [0.9399904634296641], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 136, episode reward: [20.301902157756125], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 138, episode reward: [11.968709787286357], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 139, episode reward: [0.5152032819048238], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 141, episode reward: [11.788342274597749], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 144, episode reward: [31.170508282194174], time_used: 5
2023-11-24 18:00:56 [INFO ] total_steps: 146, episode reward: [11.60891091720497], time_used: 6
2023-11-24 18:00:56 [INFO ] total_steps: 147, episode reward: [1.0477979222077294], time_used: 6
2023-11-24 18:00:56 [INFO ] total_steps: 149, episode reward: [11.19902357898134], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 152, episode reward: [23.48687475125465], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 153, episode reward: [0.6019597885290128], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 155, episode reward: [11.254780752239212], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 157, episode reward: [11.258098883583033], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 158, episode reward: [0.5159483760459147], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 163, episode reward: [48.834073983682735], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 164, episode reward: [0.5219611855561801], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 165, episode reward: [0.9805347119418564], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 166, episode reward: [1.1310319074243405], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 167, episode reward: [1.1290222923204865], time_used: 6
2023-11-24 18:00:57 [INFO ] total_steps: 168, episode reward: [1.147998173728209], time_used: 7
2023-11-24 18:00:57 [INFO ] total_steps: 172, episode reward: [37.9356414850902], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 174, episode reward: [20.789049545162673], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 177, episode reward: [29.887488907428246], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 180, episode reward: [25.31854103221319], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 183, episode reward: [22.56882866085761], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 185, episode reward: [12.941967506581685], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 187, episode reward: [13.771342662466836], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 188, episode reward: [1.180723384659278], time_used: 7
2023-11-24 18:00:58 [INFO ] total_steps: 189, episode reward: [1.1519320347935258], time_used: 8
2023-11-24 18:00:58 [INFO ] total_steps: 190, episode reward: [1.1860255604811374], time_used: 8
2023-11-24 18:00:58 [INFO ] total_steps: 191, episode reward: [0.7946902336059867], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 195, episode reward: [34.85271828309917], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 200, episode reward: [54.09213803273842], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 202, episode reward: [14.317572177109843], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 204, episode reward: [12.512060784350865], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 205, episode reward: [1.1421152958453353], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 206, episode reward: [0.9393416819010072], time_used: 8
2023-11-24 18:00:59 [INFO ] total_steps: 207, episode reward: [1.133647098648119], time_used: 9
2023-11-24 18:00:59 [INFO ] total_steps: 208, episode reward: [1.1537250595101736], time_used: 9
2023-11-24 18:00:59 [INFO ] total_steps: 209, episode reward: [0.5296120234823645], time_used: 9
2023-11-24 18:00:59 [INFO ] total_steps: 210, episode reward: [1.1337778317114817], time_used: 9
2023-11-24 18:00:59 [INFO ] total_steps: 211, episode reward: [0.7450672708030784], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 212, episode reward: [1.1250883083217158], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 214, episode reward: [15.602495402507515], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 215, episode reward: [1.1273980176710392], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 219, episode reward: [42.681546149972355], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 220, episode reward: [0.6358449815923587], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 221, episode reward: [1.1288940080804257], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 222, episode reward: [1.1413634492424336], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 223, episode reward: [0.7994990316442139], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 225, episode reward: [14.038133137603403], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 226, episode reward: [1.157366781362193], time_used: 9
2023-11-24 18:01:00 [INFO ] total_steps: 229, episode reward: [23.891154258406388], time_used: 10
2023-11-24 18:01:00 [INFO ] total_steps: 232, episode reward: [23.35096370524506], time_used: 10
2023-11-24 18:01:00 [INFO ] total_steps: 233, episode reward: [0.6200470009003602], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 234, episode reward: [0.5934646246132446], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 239, episode reward: [53.50892017647561], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 240, episode reward: [1.1267356193215623], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 241, episode reward: [1.1256953912871501], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 242, episode reward: [1.1964751083524652], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 243, episode reward: [1.0038361396386757], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 245, episode reward: [20.5435115170296], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 246, episode reward: [0.5300110530392896], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 247, episode reward: [1.190686655690692], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 250, episode reward: [32.067885583556865], time_used: 10
2023-11-24 18:01:01 [INFO ] total_steps: 252, episode reward: [11.745595925183771], time_used: 11
2023-11-24 18:01:01 [INFO ] total_steps: 253, episode reward: [0.5464892857734274], time_used: 11
2023-11-24 18:01:01 [INFO ] total_steps: 255, episode reward: [16.05303344244992], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 258, episode reward: [27.977401016609104], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 259, episode reward: [1.1308156778135312], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 261, episode reward: [12.414760540870715], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 264, episode reward: [24.969601559702582], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 265, episode reward: [0.7824260505625971], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 266, episode reward: [1.1516195891214445], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 269, episode reward: [33.24977123596898], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 270, episode reward: [0.7776069244253848], time_used: 11
2023-11-24 18:01:02 [INFO ] total_steps: 274, episode reward: [43.913572793871616], time_used: 12
2023-11-24 18:01:02 [INFO ] total_steps: 276, episode reward: [11.8317481446394], time_used: 12
2023-11-24 18:01:02 [INFO ] total_steps: 277, episode reward: [1.1383392535166101], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 279, episode reward: [14.33403572731093], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 280, episode reward: [0.7595965316315553], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 282, episode reward: [12.286056570421342], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 285, episode reward: [32.60841898332918], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 286, episode reward: [0.8448768652459077], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 292, episode reward: [69.9251070934925], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 293, episode reward: [0.7519823166763874], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 295, episode reward: [11.654104623004084], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 296, episode reward: [1.1250794501885453], time_used: 12
2023-11-24 18:01:03 [INFO ] total_steps: 297, episode reward: [0.5670377449066255], time_used: 13
2023-11-24 18:01:03 [INFO ] total_steps: 299, episode reward: [11.29545503290423], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 303, episode reward: [41.810124332883184], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 304, episode reward: [0.5917876092056562], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 305, episode reward: [0.5212086930252623], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 307, episode reward: [12.433550602400969], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 308, episode reward: [0.5302094619050156], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 310, episode reward: [13.123634690013787], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 312, episode reward: [12.491046377179508], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 316, episode reward: [35.25543906375949], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 318, episode reward: [12.612042254988014], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 320, episode reward: [20.588575339065457], time_used: 13
2023-11-24 18:01:04 [INFO ] total_steps: 321, episode reward: [1.1866908588674114], time_used: 14
2023-11-24 18:01:04 [INFO ] total_steps: 323, episode reward: [12.62910597044152], time_used: 14
2023-11-24 18:01:04 [INFO ] total_steps: 324, episode reward: [1.1692120951322797], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 325, episode reward: [1.1349352688394607], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 326, episode reward: [1.1697155862126003], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 327, episode reward: [1.1584447953648833], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 328, episode reward: [1.1085233082206536], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 329, episode reward: [1.1486175212708318], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 330, episode reward: [0.6222791788653145], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 331, episode reward: [1.126340525147241], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 332, episode reward: [1.1367843107386388], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 333, episode reward: [1.1512856798181998], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 337, episode reward: [35.17583817042637], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 338, episode reward: [1.1718512192413297], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 339, episode reward: [1.1718877881534244], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 340, episode reward: [1.1252271627302526], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 341, episode reward: [1.1376325575883242], time_used: 14
2023-11-24 18:01:05 [INFO ] total_steps: 342, episode reward: [1.1349562343925697], time_used: 15
2023-11-24 18:01:05 [INFO ] total_steps: 345, episode reward: [23.921160055170688], time_used: 15
2023-11-24 18:01:05 [INFO ] total_steps: 346, episode reward: [1.1250592370930543], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 347, episode reward: [1.1263154176279842], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 348, episode reward: [1.1265212929826944], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 349, episode reward: [0.5163465048879636], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 350, episode reward: [1.180991593023527], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 351, episode reward: [1.180880193293571], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 353, episode reward: [13.085942782010813], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 354, episode reward: [1.146850063816998], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 355, episode reward: [1.124982405783991], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 356, episode reward: [0.5285368999587905], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 357, episode reward: [1.1253254870403466], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 358, episode reward: [0.6416195864707063], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 359, episode reward: [1.1833333079873944], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 360, episode reward: [1.1260109460309249], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 361, episode reward: [0.5255422138727228], time_used: 15
2023-11-24 18:01:06 [INFO ] total_steps: 364, episode reward: [24.125220439148663], time_used: 16
2023-11-24 18:01:06 [INFO ] total_steps: 365, episode reward: [1.1727457066125502], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 367, episode reward: [11.906684177468492], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 369, episode reward: [11.759679914172054], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 375, episode reward: [82.92360815068744], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 378, episode reward: [31.660918142907303], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 380, episode reward: [11.992877727670935], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 381, episode reward: [1.127681088361601], time_used: 16
2023-11-24 18:01:07 [INFO ] total_steps: 385, episode reward: [34.33011748087126], time_used: 17
2023-11-24 18:01:07 [INFO ] total_steps: 388, episode reward: [35.62897613947882], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 390, episode reward: [11.417191071157468], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 391, episode reward: [1.1253545067452266], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 393, episode reward: [20.826681247647333], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 397, episode reward: [34.56125692093254], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 402, episode reward: [46.37357671266018], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 404, episode reward: [12.179205372978595], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 405, episode reward: [1.1355273446332446], time_used: 17
2023-11-24 18:01:08 [INFO ] total_steps: 407, episode reward: [11.961361042235287], time_used: 18
2023-11-24 18:01:08 [INFO ] total_steps: 411, episode reward: [41.563785306110745], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 412, episode reward: [1.1617690012122688], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 413, episode reward: [1.1268701304144515], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 416, episode reward: [30.13294415668025], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 418, episode reward: [17.465814755644963], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 422, episode reward: [40.807964762276555], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 423, episode reward: [1.152245510878498], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 424, episode reward: [1.1734459216536277], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 425, episode reward: [1.1266301010540594], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 428, episode reward: [24.597869705154167], time_used: 18
2023-11-24 18:01:09 [INFO ] total_steps: 431, episode reward: [24.54448931506138], time_used: 19
2023-11-24 18:01:09 [INFO ] total_steps: 434, episode reward: [32.79624488668213], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 435, episode reward: [1.1259526194463252], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 438, episode reward: [22.763133344240156], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 440, episode reward: [11.90389914518784], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 444, episode reward: [48.213620287900866], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 447, episode reward: [28.510019930640677], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 448, episode reward: [1.1912694267586508], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 450, episode reward: [12.245328072134196], time_used: 19
2023-11-24 18:01:10 [INFO ] total_steps: 453, episode reward: [25.515816092003938], time_used: 20
2023-11-24 18:01:10 [INFO ] total_steps: 454, episode reward: [0.5906672937233322], time_used: 20
2023-11-24 18:01:10 [INFO ] total_steps: 457, episode reward: [31.74862367000928], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 458, episode reward: [1.1475664031710078], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 459, episode reward: [1.136484846873288], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 462, episode reward: [30.793950030253168], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 464, episode reward: [13.166871296481927], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 465, episode reward: [1.1739014088863127], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 466, episode reward: [1.1609954481887008], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 468, episode reward: [12.24551656280909], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 471, episode reward: [32.32933676708516], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 472, episode reward: [0.9382965761658593], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 473, episode reward: [1.1350234556261398], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 475, episode reward: [11.220336391041194], time_used: 20
2023-11-24 18:01:11 [INFO ] total_steps: 476, episode reward: [1.1254143435423476], time_used: 21
2023-11-24 18:01:11 [INFO ] total_steps: 478, episode reward: [19.751344706329647], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 486, episode reward: [83.25762604707748], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 487, episode reward: [1.1291635565241567], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 489, episode reward: [11.471824212239678], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 490, episode reward: [1.2006582448066443], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 492, episode reward: [13.009361638924085], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 493, episode reward: [1.1487059551458962], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 497, episode reward: [34.557634559361524], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 500, episode reward: [25.73990096717595], time_used: 21
2023-11-24 18:01:12 [INFO ] total_steps: 501, episode reward: [1.125026692830038], time_used: 22
2023-11-24 18:01:12 [INFO ] total_steps: 502, episode reward: [0.5747430100957527], time_used: 22
2023-11-24 18:01:12 [INFO ] total_steps: 503, episode reward: [1.1869720682950702], time_used: 22
2023-11-24 18:01:12 [INFO ] total_steps: 505, episode reward: [12.340234778528997], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 506, episode reward: [1.1932521644462346], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 509, episode reward: [24.00563890100656], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 510, episode reward: [1.1813576960527077], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 511, episode reward: [1.1791100154452674], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 513, episode reward: [13.588028128549087], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 514, episode reward: [1.1409708884029284], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 515, episode reward: [1.137698463529001], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 521, episode reward: [75.29923477365982], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 522, episode reward: [1.1340125080631154], time_used: 22
2023-11-24 18:01:13 [INFO ] total_steps: 524, episode reward: [12.471035275984356], time_used: 23
2023-11-24 18:01:13 [INFO ] total_steps: 525, episode reward: [1.1259100525180552], time_used: 23
2023-11-24 18:01:13 [INFO ] total_steps: 528, episode reward: [23.436369607353015], time_used: 23
2023-11-24 18:01:14 [INFO ] total_steps: 530, episode reward: [14.068070623335565], time_used: 23
2023-11-24 18:01:14 [INFO ] total_steps: 532, episode reward: [19.955922666000063], time_used: 23
